rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,competition,element,element_no,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,2.5,owg2026,SSp4,12.0,0.0,,3.18,0.68,,1,,2526,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,,owg2026,,,,2.67,8.32,,,0,Composition,2526,8.25,8.25,8.5,8.0,8.25,8.75,7.25,8.5,8.5,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,,owg2026,,,,2.67,8.54,,,0,Presentation,2526,8.5,8.75,8.25,8.5,8.5,8.75,7.75,8.5,8.75,0,women,team
2,Gubanova Anastasiia,GEO,2,140.17,73.24,66.93,0.0,,owg2026,,,,2.67,8.21,,,0,Skating Skills,2526,8.0,8.0,8.5,8.25,8.25,8.5,7.5,8.0,8.5,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,8.0,owg2026,3A,1.0,0.0,,7.2,-0.8,,1,,2526,-1.0,1.0,0.0,-1.0,0.0,-2.0,-2.0,-2.0,-1.0,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,5.3,owg2026,3F,2.0,0.0,,3.79,-1.51,,1,,2526,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,7.2,owg2026,3Lzq+2T,3.0,0.0,,6.19,-1.01,q,1,,2526,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,4.3,owg2026,3S,4.0,0.0,,5.16,0.86,,1,,2526,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,3.0,owg2026,FSSp4,5.0,0.0,,3.69,0.69,,1,,2526,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,12.65,owg2026,3Lo+2A+2A+SEQ,6.0,1.0,,14.05,1.4,,1,,2526,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,7.26,owg2026,3F+2T,7.0,1.0,,8.02,0.76,,1,,2526,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,3.5,owg2026,CCoSp4,8.0,0.0,,4.5,1.0,,1,,2526,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,5.39,owg2026,3Lo,9.0,1.0,,6.23,0.84,,1,,2526,3.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,3.3,owg2026,StSq3,10.0,0.0,,4.15,0.85,,1,,2526,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,3.0,owg2026,ChSq1,11.0,0.0,,4.5,1.5,,1,,2526,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,2.7,owg2026,LSp4,12.0,0.0,,3.43,0.73,,1,,2526,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,,owg2026,,,,2.67,8.39,,,0,Composition,2526,8.5,8.5,9.0,8.25,8.25,8.5,7.75,8.5,8.25,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,,owg2026,,,,2.67,8.36,,,0,Presentation,2526,8.75,8.25,9.0,8.25,8.25,8.25,8.0,8.25,8.5,0,women,team
3,Glenn Amber,USA,4,138.62,70.91,67.71,0.0,,owg2026,,,,2.67,8.61,,,0,Skating Skills,2526,8.75,8.5,9.25,8.5,8.75,8.5,8.25,8.5,8.75,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,10.7,owg2026,3Lzq+1Eu+3S,1.0,0.0,,9.6,-1.1,q,1,,2526,-2.0,-2.0,-1.0,-3.0,-2.0,-2.0,-2.0,-2.0,-1.0,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,5.3,owg2026,3F,2.0,0.0,,6.59,1.29,,1,,2526,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,6.2,owg2026,3Lo+2T,3.0,0.0,,6.97,0.77,,1,,2526,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,4.9,owg2026,3Loq,4.0,0.0,,3.99,-0.91,q,1,,2526,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-1.0,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,2.6,owg2026,CSp4,5.0,0.0,,3.27,0.67,,1,,2526,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,3.5,owg2026,CCoSp4,6.0,0.0,,4.3,0.8,,1,,2526,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,2.31,owg2026,2Lz,7.0,1.0,,2.43,0.12,,1,,2526,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,8.25,owg2026,3T+2Aq+SEQ,8.0,1.0,,7.11,-1.14,q,1,,2526,-2.0,-2.0,-3.0,-3.0,-2.0,-3.0,-4.0,-4.0,-2.0,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,3.63,owg2026,2A,9.0,1.0,,4.15,0.52,,1,,2526,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,3.3,owg2026,StSq3,10.0,0.0,,4.1,0.8,,1,,2526,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,3.0,owg2026,ChSq1,11.0,0.0,,4.5,1.5,,1,,2526,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,3.5,owg2026,FCCoSp4,12.0,0.0,,4.15,0.65,,1,,2526,1.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,,owg2026,,,,2.67,8.39,,,0,Composition,2526,8.5,7.75,8.5,8.75,8.5,8.25,8.5,8.25,8.25,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,,owg2026,,,,2.67,8.11,,,0,Presentation,2526,8.25,7.25,8.0,8.25,8.5,8.0,8.0,8.0,8.25,0,women,team
4,Gutmann Lara Naki,ITA,3,126.94,61.16,65.78,0.0,,owg2026,,,,2.67,8.14,,,0,Skating Skills,2526,7.75,7.5,8.25,8.25,8.25,8.25,8.25,8.0,8.5,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,5.9,owg2026,3Lz,1.0,0.0,,2.95,-2.95,F,1,,2526,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,5.3,owg2026,3F,2.0,0.0,,6.28,0.98,,1,,2526,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,4.9,owg2026,3Lo,3.0,0.0,,5.95,1.05,,1,,2526,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,4.3,owg2026,3S,4.0,0.0,,5.1,0.8,,1,,2526,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,2.6,owg2026,FSSp3,5.0,0.0,,3.01,0.41,,1,,2526,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,13.75,owg2026,3Lz+2A+2A+SEQ,6.0,1.0,,14.59,0.84,,1,,2526,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,6.82,owg2026,3Lo+2T,7.0,1.0,,7.45,0.63,,1,,2526,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,6.05,owg2026,3Tq+2T,8.0,1.0,,5.39,-0.66,q,1,,2526,-1.0,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-1.0,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,3.5,owg2026,CCoSp4,9.0,0.0,,4.15,0.65,,1,,2526,3.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,2.6,owg2026,StSq2,10.0,0.0,,3.12,0.52,,1,,2526,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,3.0,owg2026,ChSq1,11.0,0.0,,4.21,1.21,,1,,2526,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,2.7,owg2026,LSp4,12.0,0.0,,3.24,0.54,,1,,2526,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,,owg2026,,,,2.67,7.5,,,0,Composition,2526,7.5,6.25,8.25,7.5,7.25,7.5,7.75,7.75,7.25,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,,owg2026,,,,2.67,7.61,,,0,Presentation,2526,8.25,6.75,8.0,8.0,7.5,7.5,7.25,7.5,7.5,0,women,team
5,Schizas Madeline,CAN,1,125.0,65.44,60.56,-1.0,,owg2026,,,,2.67,7.57,,,0,Skating Skills,2526,7.75,7.25,8.25,7.75,7.25,7.25,8.0,7.75,7.25,0,women,team
1,Sakamoto Kaori,JPN,10,78.88,41.97,36.91,0.0,5.9,owg2026,3Lz!,1.0,0.0,,6.32,0.42,!,1,,2526,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,2.0,1.0,1,women,team
1,Sakamoto Kaori,JPN,10,78.88,41.97,36.91,0.0,3.2,owg2026,FCSp4,2.0,0.0,,4.39,1.19,,1,,2526,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1,women,team
1,Sakamoto Kaori,JPN,10,78.88,41.97,36.91,0.0,3.3,owg2026,2A,3.0,0.0,,4.9,1.6,,1,,2526,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1,women,team
1,Sakamoto Kaori,JPN,10,78.88,41.97,36.91,0.0,10.45,owg2026,3F+3T,4.0,1.0,,12.34,1.89,,1,,2526,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,1,women,team
1,Sakamoto Kaori,JPN,10,78.88,41.97,36.91,0.0,3.5,owg2026,CCoSp4,5.0,0.0,,4.75,1.25,,1,,2526,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1,women,team
1,Sakamoto Kaori,JPN,10,78.88,41.97,36.91,0.0,3.9,owg2026,StSq4,6.0,0.0,,5.57,1.67,,1,,2526,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,1,women,team
1,Sakamoto Kaori,JPN,10,78.88,41.97,36.91,0.0,2.7,owg2026,LSp4,7.0,0.0,,3.7,1.0,,1,,2526,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,1,women,team
1,Sakamoto Kaori,JPN,10,78.88,41.97,36.91,0.0,,owg2026,,,,1.33,9.25,,,0,Composition,2526,9.5,9.0,9.0,9.0,9.25,9.5,8.75,9.5,9.5,1,women,team
1,Sakamoto Kaori,JPN,10,78.88,41.97,36.91,0.0,,owg2026,,,,1.33,9.21,,,0,Presentation,2526,9.25,9.25,9.0,9.25,9.25,9.25,9.0,9.25,9.75,1,women,team
1,Sakamoto Kaori,JPN,10,78.88,41.97,36.91,0.0,,owg2026,,,,1.33,9.29,,,0,Skating Skills,2526,9.5,9.25,9.0,9.25,9.0,9.25,9.25,9.5,9.5,1,women,team
2,Liu Alysa,USA,9,74.9,39.52,35.38,0.0,5.3,owg2026,3F!,1.0,0.0,,5.68,0.38,!,1,,2526,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1,women,team
2,Liu Alysa,USA,9,74.9,39.52,35.38,0.0,3.3,owg2026,2A,2.0,0.0,,3.91,0.61,,1,,2526,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1,women,team
2,Liu Alysa,USA,9,74.9,39.52,35.38,0.0,3.5,owg2026,CCoSp4,3.0,0.0,,4.6,1.1,,1,,2526,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,1,women,team
2,Liu Alysa,USA,9,74.9,39.52,35.38,0.0,11.88,owg2026,3Lz+3Loq,4.0,1.0,,11.71,-0.17,q,1,,2526,0.0,-1.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,1,women,team
2,Liu Alysa,USA,9,74.9,39.52,35.38,0.0,3.2,owg2026,FCSp4,5.0,0.0,,4.43,1.23,,1,,2526,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1,women,team
2,Liu Alysa,USA,9,74.9,39.52,35.38,0.0,3.9,owg2026,StSq4,6.0,0.0,,5.29,1.39,,1,,2526,3.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,1,women,team
2,Liu Alysa,USA,9,74.9,39.52,35.38,0.0,2.7,owg2026,LSp4,7.0,0.0,,3.9,1.2,,1,,2526,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,1,women,team
2,Liu Alysa,USA,9,74.9,39.52,35.38,0.0,,owg2026,,,,1.33,8.86,,,0,Composition,2526,8.75,9.25,8.75,8.25,9.0,9.0,8.75,8.75,9.0,1,women,team
2,Liu Alysa,USA,9,74.9,39.52,35.38,0.0,,owg2026,,,,1.33,9.04,,,0,Presentation,2526,9.0,9.0,9.0,8.5,9.25,9.0,9.0,9.0,9.25,1,women,team
2,Liu Alysa,USA,9,74.9,39.52,35.38,0.0,,owg2026,,,,1.33,8.71,,,0,Skating Skills,2526,8.75,9.0,8.75,8.5,8.75,8.75,8.5,8.75,8.75,1,women,team
3,Gutmann Lara Naki,ITA,7,71.62,38.28,33.34,0.0,8.4,owg2026,3T+3T,1.0,0.0,,9.66,1.26,,1,,2526,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1,women,team
3,Gutmann Lara Naki,ITA,7,71.62,38.28,33.34,0.0,3.3,owg2026,2A,2.0,0.0,,4.15,0.85,,1,,2526,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1,women,team
3,Gutmann Lara Naki,ITA,7,71.62,38.28,33.34,0.0,3.2,owg2026,FCSp4,3.0,0.0,,4.02,0.82,,1,,2526,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1,women,team
3,Gutmann Lara Naki,ITA,7,71.62,38.28,33.34,0.0,6.49,owg2026,3Lz,4.0,1.0,,7.42,0.93,,1,,2526,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1,women,team
3,Gutmann Lara Naki,ITA,7,71.62,38.28,33.34,0.0,2.5,owg2026,SSp4,5.0,0.0,,3.29,0.79,,1,,2526,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,1,women,team
3,Gutmann Lara Naki,ITA,7,71.62,38.28,33.34,0.0,3.5,owg2026,CCoSp4,6.0,0.0,,4.5,1.0,,1,,2526,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1,women,team
3,Gutmann Lara Naki,ITA,7,71.62,38.28,33.34,0.0,3.9,owg2026,StSq4,7.0,0.0,,5.24,1.34,,1,,2526,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,1,women,team
3,Gutmann Lara Naki,ITA,7,71.62,38.28,33.34,0.0,,owg2026,,,,1.33,8.43,,,0,Composition,2526,8.0,9.0,8.5,8.5,8.75,8.0,8.5,8.5,8.25,1,women,team
3,Gutmann Lara Naki,ITA,7,71.62,38.28,33.34,0.0,,owg2026,,,,1.33,8.39,,,0,Presentation,2526,8.25,8.75,8.25,8.25,8.5,8.5,8.75,8.0,8.25,1,women,team
3,Gutmann Lara Naki,ITA,7,71.62,38.28,33.34,0.0,,owg2026,,,,1.33,8.25,,,0,Skating Skills,2526,8.25,8.5,8.25,8.25,8.5,7.75,8.0,8.0,8.5,1,women,team
4,Shin Jia,KOR,4,68.8,37.93,30.87,0.0,10.1,owg2026,3Lz+3T,1.0,0.0,,11.2,1.1,,1,,2526,2.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1,women,team
4,Shin Jia,KOR,4,68.8,37.93,30.87,0.0,3.3,owg2026,2A,2.0,0.0,,4.2,0.9,,1,,2526,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1,women,team
4,Shin Jia,KOR,4,68.8,37.93,30.87,0.0,3.2,owg2026,FCSp4,3.0,0.0,,3.89,0.69,,1,,2526,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1,women,team
4,Shin Jia,KOR,4,68.8,37.93,30.87,0.0,5.83,owg2026,3F,4.0,1.0,,6.51,0.68,,1,,2526,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1,women,team
4,Shin Jia,KOR,4,68.8,37.93,30.87,0.0,3.5,owg2026,CCoSp4,5.0,0.0,,4.55,1.05,,1,,2526,3.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,1,women,team
4,Shin Jia,KOR,4,68.8,37.93,30.87,0.0,3.3,owg2026,StSq3,6.0,0.0,,4.29,0.99,,1,,2526,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1,women,team
4,Shin Jia,KOR,4,68.8,37.93,30.87,0.0,2.4,owg2026,LSp3,7.0,0.0,,3.29,0.89,,1,,2526,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,1,women,team
4,Shin Jia,KOR,4,68.8,37.93,30.87,0.0,,owg2026,,,,1.33,7.75,,,0,Composition,2526,7.75,8.0,8.0,7.75,7.5,8.25,8.0,7.25,7.0,1,women,team
4,Shin Jia,KOR,4,68.8,37.93,30.87,0.0,,owg2026,,,,1.33,7.57,,,0,Presentation,2526,7.75,7.75,7.75,7.5,7.25,7.25,8.5,7.75,7.25,1,women,team
4,Shin Jia,KOR,4,68.8,37.93,30.87,0.0,,owg2026,,,,1.33,7.89,,,0,Skating Skills,2526,8.0,8.25,8.25,7.75,7.5,7.75,8.25,7.75,7.5,1,women,team
5,Gubanova Anastasiia,GEO,8,67.79,35.24,32.55,0.0,9.5,owg2026,3F+3T,1.0,0.0,,10.64,1.14,,1,,2526,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1,women,team
5,Gubanova Anastasiia,GEO,8,67.79,35.24,32.55,0.0,3.3,owg2026,2A,2.0,0.0,,4.05,0.75,,1,,2526,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,1,women,team
5,Gubanova Anastasiia,GEO,8,67.79,35.24,32.55,0.0,3.2,owg2026,FCSp4,3.0,0.0,,4.11,0.91,,1,,2526,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1,women,team
5,Gubanova Anastasiia,GEO,8,67.79,35.24,32.55,0.0,6.49,owg2026,3Lzq,4.0,1.0,,5.39,-1.1,q,1,,2526,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,0.0,1,women,team
5,Gubanova Anastasiia,GEO,8,67.79,35.24,32.55,0.0,3.3,owg2026,StSq3,5.0,0.0,,4.29,0.99,,1,,2526,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,1,women,team
5,Gubanova Anastasiia,GEO,8,67.79,35.24,32.55,0.0,3.5,owg2026,CCoSp4,6.0,0.0,,4.15,0.65,,1,,2526,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1,women,team
